Tipo;Produto;Ano;Quantidade
VINHO DE MESA;VINHO DE MESA;1970;98327606
vm_Tinto;  Tinto;1970;83300735
vm_Rosado;  Rosado;1970;107681
vm_Branco;  Branco;1970;14919190
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1970;4430629
vm_Tinto;  Tinto;1970;435354
vm_Rosado;  Rosado;1970;183234
vm_Branco;  Branco;1970;3812041
VINHO FRIZANTE;VINHO FRIZANTE;1970;466480
VINHO ORGÂNICO;VINHO ORGÂNICO;1970;0
VINHO ESPECIAL;VINHO ESPECIAL;1970;7325789
ve_Tinto;  Tinto;1970;4730346
ve_Rosado;  Rosado;1970;1229564
ve_Branco;  Branco;1970;1365879
ESPUMANTES ;ESPUMANTES ;1970;2743678
es_Espumante_Moscatel;  Espumante  Moscatel;1970;0
es_Espumante;  Espumante;1970;0
es_Espumante Orgânico;  Espumante Orgânico;1970;0
SUCO DE UVAS;SUCO DE UVAS;1970;2626855
su_Suco_Natural;   Suco Natural Integral;1970;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1970;0
su_Suco_Orgânico;   Suco Orgânico;1970;0
su_Outros_sucos;   Outros sucos de uvas;1970;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1970;0
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1970;19844550
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1970;0
ou_Agrin;  Agrin (fermentado, acetico misto);1970;0
ou_Aguardente;  Aguardente de vinho 50°gl;1970;0
ou_Alcool_vinico;  Alcool vinico;1970;0
ou_Bagaceira;  Bagaceira (graspa);1970;1192987
ou_Base_champenoise;  Base champenoise champanha;1970;0
ou_Base_charmat;  Base charmat champanha;1970;0
ou_Base_espumante;  Base espumante moscatel;1970;0
ou_Bebida;  Bebida de uva;1970;0
ou_Borra_liqwuida;  Borra líquida;1970;0
ou_Borra_seca;  Borra seca;1970;0
ou_Brandy;  Brandy (conhaque);1970;9388296
ou_Cooler;  Cooler;1970;0
ou_Coquetel;  Coquetel com vinho;1970;0
ou_Destilado;  Destilado de vinho;1970;533987
ou_Filtrado_doce;  Filtrado doce;1970;346403
ou_Jeropiga;  Jeropiga;1970;0
ou_Mistelas;  Mistelas;1970;178350
ou_Mosto_concentrado;  Mosto concentrado;1970;44971
ou_Mosto_uva;  Mosto de uva;1970;0
ou_Mosto_sulfitado;  Mosto sulfitado;1970;401030
ou_Nectar;  Nectar de uva;1970;0
ou_Outros_produtos;  Outros produtos;1970;0
ou_Polpa;  Polpa de uva;1970;0
ou_Preparado_líquido;  Preparado líquido para refresco;1970;0
ou_Refrigerante;  Refrigerante +50% suco;1970;0
ou_Sangria;  Sangria;1970;0
ou_Vinagre_balsamico;  Vinagre balsamico;1970;0
ou_Vinagre_duplo;  Vinagre duplo;1970;0
ou_Vinagre_simples;  Vinagre simples;1970;1359297
ou_Vinho_acetificado;  Vinho acetificado;1970;0
ou_Vinho_base;  Vinho base para espumantes;1970;0
ou_Vinho_composto;  Vinho composto;1970;3386173
ou_Vinho_licoroso;  Vinho licoroso;1970;3013056
ou_Vinho_leve;  Vinho leve;1970;0
ou_Vinho_gaseificado;  Vinho gaseificado;1970;0
VINHO DE MESA;VINHO DE MESA;1971;114399031
vm_Tinto;  Tinto;1971;98522869
vm_Rosado;  Rosado;1971;542274
vm_Branco;  Branco;1971;15333888
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1971;4840369
vm_Tinto;  Tinto;1971;428927
vm_Rosado;  Rosado;1971;227299
vm_Branco;  Branco;1971;4184143
VINHO FRIZANTE;VINHO FRIZANTE;1971;358116
VINHO ORGÂNICO;VINHO ORGÂNICO;1971;0
VINHO ESPECIAL;VINHO ESPECIAL;1971;7824931
ve_Tinto;  Tinto;1971;4802828
ve_Rosado;  Rosado;1971;1662821
ve_Branco;  Branco;1971;1359282
ESPUMANTES ;ESPUMANTES ;1971;2907289
es_Espumante_Moscatel;  Espumante  Moscatel;1971;0
es_Espumante;  Espumante;1971;0
es_Espumante Orgânico;  Espumante Orgânico;1971;0
SUCO DE UVAS;SUCO DE UVAS;1971;2745249
su_Suco_Natural;   Suco Natural Integral;1971;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1971;0
su_Suco_Orgânico;   Suco Orgânico;1971;0
su_Outros_sucos;   Outros sucos de uvas;1971;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1971;0
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1971;20351384
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1971;0
ou_Agrin;  Agrin (fermentado, acetico misto);1971;0
ou_Aguardente;  Aguardente de vinho 50°gl;1971;0
ou_Alcool_vinico;  Alcool vinico;1971;0
ou_Bagaceira;  Bagaceira (graspa);1971;1111014
ou_Base_champenoise;  Base champenoise champanha;1971;0
ou_Base_charmat;  Base charmat champanha;1971;0
ou_Base_espumante;  Base espumante moscatel;1971;0
ou_Bebida;  Bebida de uva;1971;0
ou_Borra_liqwuida;  Borra líquida;1971;0
ou_Borra_seca;  Borra seca;1971;0
ou_Brandy;  Brandy (conhaque);1971;9893167
ou_Cooler;  Cooler;1971;0
ou_Coquetel;  Coquetel com vinho;1971;0
ou_Destilado;  Destilado de vinho;1971;1023876
ou_Filtrado_doce;  Filtrado doce;1971;432991
ou_Jeropiga;  Jeropiga;1971;0
ou_Mistelas;  Mistelas;1971;81510
ou_Mosto_concentrado;  Mosto concentrado;1971;20502
ou_Mosto_uva;  Mosto de uva;1971;0
ou_Mosto_sulfitado;  Mosto sulfitado;1971;410850
ou_Nectar;  Nectar de uva;1971;0
ou_Outros_produtos;  Outros produtos;1971;0
ou_Polpa;  Polpa de uva;1971;0
ou_Preparado_líquido;  Preparado líquido para refresco;1971;0
ou_Refrigerante;  Refrigerante +50% suco;1971;0
ou_Sangria;  Sangria;1971;0
ou_Vinagre_balsamico;  Vinagre balsamico;1971;0
ou_Vinagre_duplo;  Vinagre duplo;1971;0
ou_Vinagre_simples;  Vinagre simples;1971;1256068
ou_Vinho_acetificado;  Vinho acetificado;1971;0
ou_Vinho_base;  Vinho base para espumantes;1971;0
ou_Vinho_composto;  Vinho composto;1971;3645774
ou_Vinho_licoroso;  Vinho licoroso;1971;2475632
ou_Vinho_leve;  Vinho leve;1971;0
ou_Vinho_gaseificado;  Vinho gaseificado;1971;0
VINHO DE MESA;VINHO DE MESA;1972;118377367
vm_Tinto;  Tinto;1972;101167932
vm_Rosado;  Rosado;1972;7770851
vm_Branco;  Branco;1972;9438584
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1972;5602091
vm_Tinto;  Tinto;1972;624499
vm_Rosado;  Rosado;1972;403664
vm_Branco;  Branco;1972;4573928
VINHO FRIZANTE;VINHO FRIZANTE;1972;356340
VINHO ORGÂNICO;VINHO ORGÂNICO;1972;0
VINHO ESPECIAL;VINHO ESPECIAL;1972;8737605
ve_Tinto;  Tinto;1972;4347706
ve_Rosado;  Rosado;1972;1901801
ve_Branco;  Branco;1972;2488098
ESPUMANTES ;ESPUMANTES ;1972;3523335
es_Espumante_Moscatel;  Espumante  Moscatel;1972;0
es_Espumante;  Espumante;1972;0
es_Espumante Orgânico;  Espumante Orgânico;1972;0
SUCO DE UVAS;SUCO DE UVAS;1972;4069351
su_Suco_Natural;   Suco Natural Integral;1972;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1972;0
su_Suco_Orgânico;   Suco Orgânico;1972;0
su_Outros_sucos;   Outros sucos de uvas;1972;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1972;59044
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1972;23615205
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1972;0
ou_Agrin;  Agrin (fermentado, acetico misto);1972;0
ou_Aguardente;  Aguardente de vinho 50°gl;1972;0
ou_Alcool_vinico;  Alcool vinico;1972;0
ou_Bagaceira;  Bagaceira (graspa);1972;1059696
ou_Base_champenoise;  Base champenoise champanha;1972;0
ou_Base_charmat;  Base charmat champanha;1972;0
ou_Base_espumante;  Base espumante moscatel;1972;0
ou_Bebida;  Bebida de uva;1972;0
ou_Borra_liqwuida;  Borra líquida;1972;0
ou_Borra_seca;  Borra seca;1972;0
ou_Brandy;  Brandy (conhaque);1972;11876098
ou_Cooler;  Cooler;1972;0
ou_Coquetel;  Coquetel com vinho;1972;0
ou_Destilado;  Destilado de vinho;1972;1573023
ou_Filtrado_doce;  Filtrado doce;1972;670626
ou_Jeropiga;  Jeropiga;1972;0
ou_Mistelas;  Mistelas;1972;133865
ou_Mosto_concentrado;  Mosto concentrado;1972;0
ou_Mosto_uva;  Mosto de uva;1972;0
ou_Mosto_sulfitado;  Mosto sulfitado;1972;447600
ou_Nectar;  Nectar de uva;1972;0
ou_Outros_produtos;  Outros produtos;1972;0
ou_Polpa;  Polpa de uva;1972;0
ou_Preparado_líquido;  Preparado líquido para refresco;1972;0
ou_Refrigerante;  Refrigerante +50% suco;1972;0
ou_Sangria;  Sangria;1972;0
ou_Vinagre_balsamico;  Vinagre balsamico;1972;0
ou_Vinagre_duplo;  Vinagre duplo;1972;0
ou_Vinagre_simples;  Vinagre simples;1972;1524908
ou_Vinho_acetificado;  Vinho acetificado;1972;0
ou_Vinho_base;  Vinho base para espumantes;1972;0
ou_Vinho_composto;  Vinho composto;1972;3921573
ou_Vinho_licoroso;  Vinho licoroso;1972;2407816
ou_Vinho_leve;  Vinho leve;1972;0
ou_Vinho_gaseificado;  Vinho gaseificado;1972;0
VINHO DE MESA;VINHO DE MESA;1973;116617910
vm_Tinto;  Tinto;1973;98196747
vm_Rosado;  Rosado;1973;8425617
vm_Branco;  Branco;1973;9995546
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1973;7202830
vm_Tinto;  Tinto;1973;783508
vm_Rosado;  Rosado;1973;1377333
vm_Branco;  Branco;1973;5041989
VINHO FRIZANTE;VINHO FRIZANTE;1973;327865
VINHO ORGÂNICO;VINHO ORGÂNICO;1973;0
VINHO ESPECIAL;VINHO ESPECIAL;1973;9693953
ve_Tinto;  Tinto;1973;5017487
ve_Rosado;  Rosado;1973;2062011
ve_Branco;  Branco;1973;2614455
ESPUMANTES ;ESPUMANTES ;1973;3625230
es_Espumante_Moscatel;  Espumante  Moscatel;1973;0
es_Espumante;  Espumante;1973;0
es_Espumante Orgânico;  Espumante Orgânico;1973;0
SUCO DE UVAS;SUCO DE UVAS;1973;5668991
su_Suco_Natural;   Suco Natural Integral;1973;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1973;0
su_Suco_Orgânico;   Suco Orgânico;1973;0
su_Outros_sucos;   Outros sucos de uvas;1973;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1973;1951966
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1973;25401454
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1973;0
ou_Agrin;  Agrin (fermentado, acetico misto);1973;0
ou_Aguardente;  Aguardente de vinho 50°gl;1973;0
ou_Alcool_vinico;  Alcool vinico;1973;0
ou_Bagaceira;  Bagaceira (graspa);1973;997624
ou_Base_champenoise;  Base champenoise champanha;1973;0
ou_Base_charmat;  Base charmat champanha;1973;0
ou_Base_espumante;  Base espumante moscatel;1973;0
ou_Bebida;  Bebida de uva;1973;0
ou_Borra_liqwuida;  Borra líquida;1973;0
ou_Borra_seca;  Borra seca;1973;0
ou_Brandy;  Brandy (conhaque);1973;12156057
ou_Cooler;  Cooler;1973;0
ou_Coquetel;  Coquetel com vinho;1973;0
ou_Destilado;  Destilado de vinho;1973;1485567
ou_Filtrado_doce;  Filtrado doce;1973;837970
ou_Jeropiga;  Jeropiga;1973;0
ou_Mistelas;  Mistelas;1973;160470
ou_Mosto_concentrado;  Mosto concentrado;1973;0
ou_Mosto_uva;  Mosto de uva;1973;0
ou_Mosto_sulfitado;  Mosto sulfitado;1973;1724244
ou_Nectar;  Nectar de uva;1973;0
ou_Outros_produtos;  Outros produtos;1973;0
ou_Polpa;  Polpa de uva;1973;0
ou_Preparado_líquido;  Preparado líquido para refresco;1973;0
ou_Refrigerante;  Refrigerante +50% suco;1973;0
ou_Sangria;  Sangria;1973;0
ou_Vinagre_balsamico;  Vinagre balsamico;1973;0
ou_Vinagre_duplo;  Vinagre duplo;1973;0
ou_Vinagre_simples;  Vinagre simples;1973;1426737
ou_Vinho_acetificado;  Vinho acetificado;1973;0
ou_Vinho_base;  Vinho base para espumantes;1973;0
ou_Vinho_composto;  Vinho composto;1973;4168841
ou_Vinho_licoroso;  Vinho licoroso;1973;2443944
ou_Vinho_leve;  Vinho leve;1973;0
ou_Vinho_gaseificado;  Vinho gaseificado;1973;0
VINHO DE MESA;VINHO DE MESA;1974;94173324
vm_Tinto;  Tinto;1974;77167303
vm_Rosado;  Rosado;1974;8891367
vm_Branco;  Branco;1974;8114654
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1974;7571802
vm_Tinto;  Tinto;1974;1616144
vm_Rosado;  Rosado;1974;1725564
vm_Branco;  Branco;1974;4230094
VINHO FRIZANTE;VINHO FRIZANTE;1974;270641
VINHO ORGÂNICO;VINHO ORGÂNICO;1974;0
VINHO ESPECIAL;VINHO ESPECIAL;1974;7638484
ve_Tinto;  Tinto;1974;3763509
ve_Rosado;  Rosado;1974;1989341
ve_Branco;  Branco;1974;1885634
ESPUMANTES ;ESPUMANTES ;1974;3442734
es_Espumante_Moscatel;  Espumante  Moscatel;1974;0
es_Espumante;  Espumante;1974;0
es_Espumante Orgânico;  Espumante Orgânico;1974;0
SUCO DE UVAS;SUCO DE UVAS;1974;4673891
su_Suco_Natural;   Suco Natural Integral;1974;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1974;0
su_Suco_Orgânico;   Suco Orgânico;1974;0
su_Outros_sucos;   Outros sucos de uvas;1974;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1974;1619428
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1974;24530878
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1974;0
ou_Agrin;  Agrin (fermentado, acetico misto);1974;0
ou_Aguardente;  Aguardente de vinho 50°gl;1974;0
ou_Alcool_vinico;  Alcool vinico;1974;0
ou_Bagaceira;  Bagaceira (graspa);1974;839441
ou_Base_champenoise;  Base champenoise champanha;1974;0
ou_Base_charmat;  Base charmat champanha;1974;0
ou_Base_espumante;  Base espumante moscatel;1974;0
ou_Bebida;  Bebida de uva;1974;0
ou_Borra_liqwuida;  Borra líquida;1974;0
ou_Borra_seca;  Borra seca;1974;0
ou_Brandy;  Brandy (conhaque);1974;12885577
ou_Cooler;  Cooler;1974;0
ou_Coquetel;  Coquetel com vinho;1974;0
ou_Destilado;  Destilado de vinho;1974;1409986
ou_Filtrado_doce;  Filtrado doce;1974;1039110
ou_Jeropiga;  Jeropiga;1974;0
ou_Mistelas;  Mistelas;1974;45878
ou_Mosto_concentrado;  Mosto concentrado;1974;761417
ou_Mosto_uva;  Mosto de uva;1974;0
ou_Mosto_sulfitado;  Mosto sulfitado;1974;239200
ou_Nectar;  Nectar de uva;1974;0
ou_Outros_produtos;  Outros produtos;1974;0
ou_Polpa;  Polpa de uva;1974;0
ou_Preparado_líquido;  Preparado líquido para refresco;1974;0
ou_Refrigerante;  Refrigerante +50% suco;1974;0
ou_Sangria;  Sangria;1974;0
ou_Vinagre_balsamico;  Vinagre balsamico;1974;0
ou_Vinagre_duplo;  Vinagre duplo;1974;0
ou_Vinagre_simples;  Vinagre simples;1974;1717666
ou_Vinho_acetificado;  Vinho acetificado;1974;0
ou_Vinho_base;  Vinho base para espumantes;1974;0
ou_Vinho_composto;  Vinho composto;1974;3670736
ou_Vinho_licoroso;  Vinho licoroso;1974;1921867
ou_Vinho_leve;  Vinho leve;1974;0
ou_Vinho_gaseificado;  Vinho gaseificado;1974;0
VINHO DE MESA;VINHO DE MESA;1975;108031792
vm_Tinto;  Tinto;1975;91528090
vm_Rosado;  Rosado;1975;7261777
vm_Branco;  Branco;1975;9241925
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1975;8848303
vm_Tinto;  Tinto;1975;2050960
vm_Rosado;  Rosado;1975;2130619
vm_Branco;  Branco;1975;4666724
VINHO FRIZANTE;VINHO FRIZANTE;1975;301293
VINHO ORGÂNICO;VINHO ORGÂNICO;1975;0
VINHO ESPECIAL;VINHO ESPECIAL;1975;10260445
ve_Tinto;  Tinto;1975;4815235
ve_Rosado;  Rosado;1975;2885972
ve_Branco;  Branco;1975;2559238
ESPUMANTES ;ESPUMANTES ;1975;3691348
es_Espumante_Moscatel;  Espumante  Moscatel;1975;0
es_Espumante;  Espumante;1975;0
es_Espumante Orgânico;  Espumante Orgânico;1975;0
SUCO DE UVAS;SUCO DE UVAS;1975;5802187
su_Suco_Natural;   Suco Natural Integral;1975;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1975;0
su_Suco_Orgânico;   Suco Orgânico;1975;0
su_Outros_sucos;   Outros sucos de uvas;1975;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1975;768401
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1975;23102540
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1975;0
ou_Agrin;  Agrin (fermentado, acetico misto);1975;0
ou_Aguardente;  Aguardente de vinho 50°gl;1975;0
ou_Alcool_vinico;  Alcool vinico;1975;0
ou_Bagaceira;  Bagaceira (graspa);1975;706946
ou_Base_champenoise;  Base champenoise champanha;1975;0
ou_Base_charmat;  Base charmat champanha;1975;0
ou_Base_espumante;  Base espumante moscatel;1975;0
ou_Bebida;  Bebida de uva;1975;0
ou_Borra_liqwuida;  Borra líquida;1975;0
ou_Borra_seca;  Borra seca;1975;0
ou_Brandy;  Brandy (conhaque);1975;11418527
ou_Cooler;  Cooler;1975;0
ou_Coquetel;  Coquetel com vinho;1975;0
ou_Destilado;  Destilado de vinho;1975;1793135
ou_Filtrado_doce;  Filtrado doce;1975;1353194
ou_Jeropiga;  Jeropiga;1975;0
ou_Mistelas;  Mistelas;1975;272141
ou_Mosto_concentrado;  Mosto concentrado;1975;251197
ou_Mosto_uva;  Mosto de uva;1975;0
ou_Mosto_sulfitado;  Mosto sulfitado;1975;34300
ou_Nectar;  Nectar de uva;1975;0
ou_Outros_produtos;  Outros produtos;1975;0
ou_Polpa;  Polpa de uva;1975;0
ou_Preparado_líquido;  Preparado líquido para refresco;1975;0
ou_Refrigerante;  Refrigerante +50% suco;1975;0
ou_Sangria;  Sangria;1975;0
ou_Vinagre_balsamico;  Vinagre balsamico;1975;0
ou_Vinagre_duplo;  Vinagre duplo;1975;0
ou_Vinagre_simples;  Vinagre simples;1975;1574960
ou_Vinho_acetificado;  Vinho acetificado;1975;0
ou_Vinho_base;  Vinho base para espumantes;1975;0
ou_Vinho_composto;  Vinho composto;1975;3493104
ou_Vinho_licoroso;  Vinho licoroso;1975;2205036
ou_Vinho_leve;  Vinho leve;1975;0
ou_Vinho_gaseificado;  Vinho gaseificado;1975;0
VINHO DE MESA;VINHO DE MESA;1976;139238614
vm_Tinto;  Tinto;1976;116407222
vm_Rosado;  Rosado;1976;11748047
vm_Branco;  Branco;1976;11083345
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1976;14095648
vm_Tinto;  Tinto;1976;4450570
vm_Rosado;  Rosado;1976;3118919
vm_Branco;  Branco;1976;6526159
VINHO FRIZANTE;VINHO FRIZANTE;1976;248456
VINHO ORGÂNICO;VINHO ORGÂNICO;1976;0
VINHO ESPECIAL;VINHO ESPECIAL;1976;12392725
ve_Tinto;  Tinto;1976;4819463
ve_Rosado;  Rosado;1976;4231765
ve_Branco;  Branco;1976;3341497
ESPUMANTES ;ESPUMANTES ;1976;4204666
es_Espumante_Moscatel;  Espumante  Moscatel;1976;0
es_Espumante;  Espumante;1976;0
es_Espumante Orgânico;  Espumante Orgânico;1976;0
SUCO DE UVAS;SUCO DE UVAS;1976;6433821
su_Suco_Natural;   Suco Natural Integral;1976;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1976;0
su_Suco_Orgânico;   Suco Orgânico;1976;0
su_Outros_sucos;   Outros sucos de uvas;1976;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1976;1467883
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1976;28321777
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1976;0
ou_Agrin;  Agrin (fermentado, acetico misto);1976;0
ou_Aguardente;  Aguardente de vinho 50°gl;1976;0
ou_Alcool_vinico;  Alcool vinico;1976;0
ou_Bagaceira;  Bagaceira (graspa);1976;698399
ou_Base_champenoise;  Base champenoise champanha;1976;0
ou_Base_charmat;  Base charmat champanha;1976;0
ou_Base_espumante;  Base espumante moscatel;1976;0
ou_Bebida;  Bebida de uva;1976;0
ou_Borra_liqwuida;  Borra líquida;1976;0
ou_Borra_seca;  Borra seca;1976;0
ou_Brandy;  Brandy (conhaque);1976;14938849
ou_Cooler;  Cooler;1976;0
ou_Coquetel;  Coquetel com vinho;1976;0
ou_Destilado;  Destilado de vinho;1976;1373075
ou_Filtrado_doce;  Filtrado doce;1976;1792832
ou_Jeropiga;  Jeropiga;1976;48203
ou_Mistelas;  Mistelas;1976;88300
ou_Mosto_concentrado;  Mosto concentrado;1976;309196
ou_Mosto_uva;  Mosto de uva;1976;0
ou_Mosto_sulfitado;  Mosto sulfitado;1976;420300
ou_Nectar;  Nectar de uva;1976;0
ou_Outros_produtos;  Outros produtos;1976;0
ou_Polpa;  Polpa de uva;1976;0
ou_Preparado_líquido;  Preparado líquido para refresco;1976;0
ou_Refrigerante;  Refrigerante +50% suco;1976;0
ou_Sangria;  Sangria;1976;0
ou_Vinagre_balsamico;  Vinagre balsamico;1976;0
ou_Vinagre_duplo;  Vinagre duplo;1976;0
ou_Vinagre_simples;  Vinagre simples;1976;748459
ou_Vinho_acetificado;  Vinho acetificado;1976;0
ou_Vinho_base;  Vinho base para espumantes;1976;0
ou_Vinho_composto;  Vinho composto;1976;5429800
ou_Vinho_licoroso;  Vinho licoroso;1976;2474364
ou_Vinho_leve;  Vinho leve;1976;0
ou_Vinho_gaseificado;  Vinho gaseificado;1976;0
VINHO DE MESA;VINHO DE MESA;1977;140813114
vm_Tinto;  Tinto;1977;116609545
vm_Rosado;  Rosado;1977;15195525
vm_Branco;  Branco;1977;9008044
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1977;14975330
vm_Tinto;  Tinto;1977;4504303
vm_Rosado;  Rosado;1977;3248565
vm_Branco;  Branco;1977;7222462
VINHO FRIZANTE;VINHO FRIZANTE;1977;143575
VINHO ORGÂNICO;VINHO ORGÂNICO;1977;0
VINHO ESPECIAL;VINHO ESPECIAL;1977;11569676
ve_Tinto;  Tinto;1977;3959050
ve_Rosado;  Rosado;1977;4034615
ve_Branco;  Branco;1977;3576011
ESPUMANTES ;ESPUMANTES ;1977;4150746
es_Espumante_Moscatel;  Espumante  Moscatel;1977;0
es_Espumante;  Espumante;1977;0
es_Espumante Orgânico;  Espumante Orgânico;1977;0
SUCO DE UVAS;SUCO DE UVAS;1977;6814893
su_Suco_Natural;   Suco Natural Integral;1977;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1977;0
su_Suco_Orgânico;   Suco Orgânico;1977;0
su_Outros_sucos;   Outros sucos de uvas;1977;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1977;2444089
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1977;27333925
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1977;0
ou_Agrin;  Agrin (fermentado, acetico misto);1977;0
ou_Aguardente;  Aguardente de vinho 50°gl;1977;0
ou_Alcool_vinico;  Alcool vinico;1977;0
ou_Bagaceira;  Bagaceira (graspa);1977;595137
ou_Base_champenoise;  Base champenoise champanha;1977;0
ou_Base_charmat;  Base charmat champanha;1977;0
ou_Base_espumante;  Base espumante moscatel;1977;0
ou_Bebida;  Bebida de uva;1977;0
ou_Borra_liqwuida;  Borra líquida;1977;0
ou_Borra_seca;  Borra seca;1977;0
ou_Brandy;  Brandy (conhaque);1977;12858163
ou_Cooler;  Cooler;1977;0
ou_Coquetel;  Coquetel com vinho;1977;0
ou_Destilado;  Destilado de vinho;1977;780548
ou_Filtrado_doce;  Filtrado doce;1977;2292414
ou_Jeropiga;  Jeropiga;1977;34624
ou_Mistelas;  Mistelas;1977;195060
ou_Mosto_concentrado;  Mosto concentrado;1977;84058
ou_Mosto_uva;  Mosto de uva;1977;0
ou_Mosto_sulfitado;  Mosto sulfitado;1977;746326
ou_Nectar;  Nectar de uva;1977;0
ou_Outros_produtos;  Outros produtos;1977;0
ou_Polpa;  Polpa de uva;1977;0
ou_Preparado_líquido;  Preparado líquido para refresco;1977;0
ou_Refrigerante;  Refrigerante +50% suco;1977;0
ou_Sangria;  Sangria;1977;0
ou_Vinagre_balsamico;  Vinagre balsamico;1977;0
ou_Vinagre_duplo;  Vinagre duplo;1977;0
ou_Vinagre_simples;  Vinagre simples;1977;1549579
ou_Vinho_acetificado;  Vinho acetificado;1977;0
ou_Vinho_base;  Vinho base para espumantes;1977;0
ou_Vinho_composto;  Vinho composto;1977;5170582
ou_Vinho_licoroso;  Vinho licoroso;1977;3027434
ou_Vinho_leve;  Vinho leve;1977;0
ou_Vinho_gaseificado;  Vinho gaseificado;1977;0
VINHO DE MESA;VINHO DE MESA;1978;141293379
vm_Tinto;  Tinto;1978;117203914
vm_Rosado;  Rosado;1978;14612454
vm_Branco;  Branco;1978;9477011
VINHO  FINO DE MESA;VINHO  FINO DE MESA;1978;17596956
vm_Tinto;  Tinto;1978;4920802
vm_Rosado;  Rosado;1978;3501895
vm_Branco;  Branco;1978;9174259
VINHO FRIZANTE;VINHO FRIZANTE;1978;13915
VINHO ORGÂNICO;VINHO ORGÂNICO;1978;0
VINHO ESPECIAL;VINHO ESPECIAL;1978;10247572
ve_Tinto;  Tinto;1978;4083073
ve_Rosado;  Rosado;1978;4177476
ve_Branco;  Branco;1978;1987023
ESPUMANTES ;ESPUMANTES ;1978;3684240
es_Espumante_Moscatel;  Espumante  Moscatel;1978;0
es_Espumante;  Espumante;1978;0
es_Espumante Orgânico;  Espumante Orgânico;1978;0
SUCO DE UVAS;SUCO DE UVAS;1978;6963440
su_Suco_Natural;   Suco Natural Integral;1978;0
su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;1978;0
su_Suco_Orgânico;   Suco Orgânico;1978;0
su_Outros_sucos;   Outros sucos de uvas;1978;0
SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1978;2454178
OUTROS PRODUTOS COMERCIALIZADOS;OUTROS PRODUTOS COMERCIALIZADOS;1978;29509570
ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1978;0
ou_Agrin;  Agrin (fermentado, acetico misto);1978;0
ou_Aguardente;  Aguardente de vinho 50°gl;1978;0
ou_Alcool_vinico;  Alcool vinico;1978;0
ou_Bagaceira;  Bagaceira (graspa);1978;432596
ou_Base_champenoise;  Base champenoise champanha;1978;0
ou_Base_charmat;  Base charmat champanha;1978;0
